type,amountOfAttributes,executionTime
hashlist,1244,2
hashlist,1245,2
hashlist,1246,2
hashlist,1247,2
hashlist,1248,2
hashlist,1249,2
hashlist,1250,1
hashlist,1251,2
hashlist,1252,2
hashlist,1253,2
hashlist,1254,2
hashlist,1255,2
hashlist,1256,2
hashlist,1257,2
hashlist,1258,1
hashlist,1259,3
hashlist,1260,2
hashlist,1261,2
hashlist,1262,2
hashlist,1263,2
hashlist,1264,2
hashlist,1265,2
hashlist,1266,2
hashlist,1267,2
hashlist,1268,3
hashlist,1269,2
hashlist,1270,2
hashlist,1271,2
hashlist,1272,3
hashlist,1273,2
hashlist,1274,2
hashlist,1275,2
hashlist,1276,2
hashlist,1277,2
hashlist,1278,2
hashlist,1279,2
hashlist,1280,2
hashlist,1281,2
hashlist,1282,3
hashlist,1283,2
hashlist,1284,2
hashlist,1285,2
hashlist,1286,2
hashlist,1287,2
hashlist,1288,2
hashlist,1289,3
hashlist,1290,2
hashlist,1291,2
hashlist,1292,2
hashlist,1293,2
hashlist,1294,2
hashlist,1295,2
hashlist,1296,3
hashlist,1297,2
hashlist,1298,2
hashlist,1299,2
hashlist,1300,2
hashlist,1301,2
hashlist,1302,2
hashlist,1303,3
hashlist,1304,3
hashlist,1305,2
hashlist,1306,2
hashlist,1307,2
hashlist,1308,2
hashlist,1309,2
hashlist,1310,3
hashlist,1311,2
hashlist,1312,2
hashlist,1313,2
hashlist,1314,2
hashlist,1315,2
hashlist,1316,2
hashlist,1317,3
hashlist,1318,2
hashlist,1319,2
hashlist,1320,2
hashlist,1321,2
hashlist,1322,2
hashlist,1323,2
hashlist,1324,3
hashlist,1325,2
hashlist,1326,3
hashlist,1327,2
hashlist,1328,2
hashlist,1329,2
hashlist,1330,2
hashlist,1331,2
hashlist,1332,2
hashlist,1333,2
hashlist,1334,3
hashlist,1335,2
hashlist,1336,3
hashlist,1337,2
hashlist,1338,3
hashlist,1339,2
hashlist,1340,2
hashlist,1341,2
hashlist,1342,3
hashlist,1343,2
hashlist,1344,2
hashlist,1345,2
hashlist,1346,2
hashlist,1347,2
hashlist,1348,3
hashlist,1349,2
hashlist,1350,3
hashlist,1351,2
hashlist,1352,2
